,league,earnings,players,tournaments,events
286,Turkish Promotion League / Challenger Series,72299.72,126,6,6
287,SPOTV KartRider League,381294.35,59,8,6
288,SPOTV PUBG Warfare Masters,174990.0,134,2,2
289,SPOTV SSL Classic,27559.0,8,1,1
290,SPOTV StarCraft II StarLeague,578325.84,55,11,7
291,PUBG Europe League,1050000.0,68,4,4
292,StarLadder,1532499.0,263,16,13
293,StarLadder & i-League Invitational,1499500.0,231,8,7
294,StarLadder & i-League StarSeries,4834786.0,560,20,13
295,StarLadder ProSeries,74768.0,475,41,27
296,StarLadder SemiSeries,3126.4,10,2,2
297,StarLadder StarSeries,1692923.0,508,48,18
298,Acer Predator Masters,130000.0,46,3,3
299,Acer TeamStory Cup,60000.0,45,3,1
300,DraftStory Cup,20000.0,13,2,2
301,Gentlemen Cup,7000.0,19,1,1
302,HomeStory Cup,398456.83,107,25,23
303,Overwatch TaKeOver,55000.0,41,2,2
304,SeatStory Cup,200000.0,58,11,10
305,TaKeTV Penthouse Party,17400.0,20,4,4
306,Arena of Valor International Championship,1060000.0,88,5,2
307,Arena of Valor World Cup,1008000.0,71,3,2
308,Crossfire Stars,3240000.0,241,20,14
309,Demacia Cup,1219376.32,96,11,11
310,Honor of Kings Champion Cup,4195754.19,103,4,4
311,King Pro League,4204322.98,42,3,3
312,LoL Pro League,7029606.96,286,16,16
313,LoL Secondary Pro League / LoL Development League,1189073.72,211,14,14
314,Tencent Games Arena,449441.44,88,13,13
315,Valor Series,474000.0,54,8,3
316,ELEAGUE,8628200.0,464,18,17
317,UMG Gaming,299650.21,126,15,15
318,UMG Online,329149.0,127,53,3
319,CS:GO Major Championships,9750000.0,295,15,15
320,CS:GO Minor Championships,1550000.0,276,31,8
321,CS:GO Regional Major Rankings,647000.0,312,11,1
322,Dota2 Major Championships,31500000.0,324,21,21
323,Dota2 Minor Championships,6400000.0,295,21,21
324,The International,140855722.05,268,10,9
325,Wargaming.net League,2218537.35,167,15,15
326,World Cyber Games,5128229.96,903,192,35
327,World Cyber Games National Qualifiers,783869.55,571,81,43
328,ZOTAC Cup,377194.49,574,1344,16
329,125 FPS,22696.44,44,115,25
330,360icons,3600.0,0,15,1
331,A1 eSports League Austria,67741.09,67,6,4
332,Alienware Arena,25756.92,102,10,9
333,Alpha X,5778.85,76,52,3
334,ALT Gaming League,2150.0,16,5,5
335,Anime Ascension,7358.0,23,3,1
336,AnimEVO,20975.29,133,44,2
